noun_id;noun;verbs
5;pan;['wrap', 'scrape', 'fill', 'stack', 'measure', 'tip', 'mix', 'hold', 'add', 'wash', 'store', 'flip', 'rub', 'open', 'crush', 'take', 'pour', 'sort', 'shake', 'turn-on', 'close', 'cook', 'remove', 'put', 'pull', 'tessellate', 'throw', 'lift', 'turn-off', 'soak', 'insert', 'turn', 'look', 'check', 'dry', 'filter', 'empty', 'move', 'serve']
276;pineapple;['take', 'put', 'cut']
36;clip;['take', 'remove', 'put', 'wash', 'dry']
31;sink;['put', 'turn-off', 'soak', 'turn-on', 'empty', 'throw', 'insert', 'filter', 'scrape', 'move', 'scrub', 'tip', 'wash', 'open', 'take', 'pour', 'hold', 'close']
23;colander;['wash', 'move', 'dry', 'put', 'take', 'remove']
68;garlic;['throw', 'scrape', 'open', 'tip', 'mix', 'break', 'pour', 'squeeze', 'move', 'choose', 'search', 'take', 'form', 'add', 'put', 'pull', 'cut', 'divide', 'crush', 'close', 'peel', 'press', 'remove', 'check']
135;corn;['move', 'scoop', 'wash', 'mix', 'take', 'open', 'close', 'flip', 'shake', 'sample', 'put', 'remove', 'sprinkle', 'turn', 'unfreeze', 'filter']
45;cover;['fix', 'wash', 'search', 'close', 'take', 'turn-on', 'open', 'put', 'brush', 'throw', 'remove']
240;herb;['sprinkle', 'take', 'pour', 'put', 'close']
18;spoon;['insert', 'wash', 'sample', 'move', 'pour', 'scrape', 'drop', 'take', 'gather', 'sort', 'switch', 'store', 'search', 'pat', 'mix', 'dry', 'remove', 'use', 'finish', 'turn', 'look', 'put', 'pull', 'empty']
20;celery;['wash', 'cut', 'take', 'throw', 'pull', 'put', 'pour']
261;cinnamon;['mix', 'pour', 'scoop']
97;egg;['move', 'close', 'unroll', 'put', 'sort', 'divide', 'store', 'take', 'scrape', 'remove', 'empty', 'choose', 'wash', 'open', 'break', 'do', 'roll', 'shake', 'check', 'mix', 'cook', 'pat', 'pour']
34;food;['gather', 'move', 'wash', 'open', 'scoop', 'mix', 'pour', 'sample', 'take', 'put', 'cook', 'remove', 'sort', 'check', 'throw', 'scrape', 'insert', 'press', 'serve']
56;bottle;['fill', 'take', 'close', 'do', 'shake', 'move', 'wash', 'put', 'check', 'attach', 'pour', 'press', 'empty', 'flatten', 'remove', 'open', 'throw']
41;board:chopping;['remove', 'take', 'scrape', 'turn', 'move', 'soak', 'wash', 'put', 'mix', 'dry', 'cut']
17;knife;['take', 'remove', 'use', 'turn', 'look', 'put', 'brush', 'dry', 'move', 'scrape', 'finish', 'drop', 'roll', 'wash', 'search', 'rub', 'open', 'sharpen', 'mix', 'cut']
190;utensil;['put', 'dry', 'take', 'wash']
246;fire;['open']
129;freezer;['close', 'insert', 'put', 'open', 'take']
144;courgette;['throw', 'pour', 'cut', 'put', 'wash', 'mix', 'move', 'peel', 'drop', 'take', 'remove']
139;biscuit;['eat', 'open', 'serve', 'throw', 'close', 'take', 'put']
151;water;['wash', 'insert', 'check', 'video', 'pat', 'pour', 'unfreeze', 'turn-on', 'close', 'squeeze', 'drink', 'remove', 'swirl', 'scoop', 'use', 'throw', 'fill', 'turn', 'look', 'filter', 'gather', 'measure', 'empty', 'move', 'add', 'sprinkle', 'open', 'take', 'adjust', 'shake', 'cook', 'put', 'mix', 'turn-off']
58;broccoli;['cut', 'divide', 'throw', 'pour', 'take', 'move', 'wash', 'put']
49;plate;['pour', 'check', 'pull', 'cut', 'throw', 'empty', 'insert', 'wrap', 'put', 'scrape', 'divide', 'dry', 'move', 'hold', 'wash', 'search', 'open', 'scrub', 'adjust', 'turn-on', 'take', 'remove', 'store', 'shake', 'soak']
148;label;['remove', 'look']
254;wrap:plastic;['open', 'pull', 'rip', 'take', 'put', 'unroll', 'close', 'remove']
62;tomato;['insert', 'filter', 'shake', 'move', 'prepare', 'put', 'throw', 'divide', 'take', 'sort', 'dry', 'gather', 'remove', 'scrape', 'open', 'cut', 'apply', 'turn-on', 'squeeze', 'wrap', 'wash', 'pour', 'cook', 'pull', 'sprinkle', 'mix']
1;chicken;['cut', 'hold', 'remove', 'wash', 'turn', 'pour', 'mix', 'check', 'shake', 'cook', 'add', 'put', 'take', 'move', 'flip', 'throw', 'scrape', 'open']
105;filter;['move', 'shake', 'fold', 'insert', 'carry', 'fill', 'take', 'throw', 'empty', 'turn', 'twist', 'open', 'hold', 'remove', 'wash', 'put']
187;floor;['remove', 'take', 'drop', 'sweep', 'wash', 'dry']
81;liquid;['finish', 'take', 'put', 'apply', 'fill', 'open', 'squeeze', 'move', 'pour', 'shake', 'squirt', 'sample']
13;ladle;['take', 'dry', 'wash', 'put', 'adjust']
73;tuna;['form', 'squeeze', 'search', 'look', 'put', 'open', 'remove', 'flip', 'pull', 'mix', 'scrape', 'check', 'eat', 'take', 'sprinkle']
94;squash;['fill', 'sample', 'mix', 'scoop', 'open', 'throw', 'pour', 'close', 'filter', 'peel', 'cut', 'take', 'wrap', 'put']
153;table;['walk', 'search', 'check', 'turn', 'take', 'wash', 'put']
156;switch;['turn-off', 'hold', 'turn', 'turn-on', 'press']
138;clothes;['put', 'take', 'carry', 'move', 'check', 'twist', 'open', 'hang', 'wash']
55;drawer;['search', 'mix', 'open', 'take', 'put', 'pull', 'fold', 'insert', 'turn', 'sort', 'shake', 'close', 'press', 'remove']
25;burger:tuna;['squeeze', 'pat', 'close', 'form', 'take', 'put', 'scoop', 'flip', 'check']
116;oregano;['close', 'insert', 'scoop', 'put', 'sprinkle', 'pour', 'open', 'take', 'add', 'pet-down']
286;pepper:cayenne;['take', 'measure']
88;cheese;['put', 'mix', 'divide', 'scoop', 'tip', 'throw', 'cut', 'insert', 'filter', 'take', 'break', 'remove', 'empty', 'sprinkle', 'turn', 'open', 'pour', 'apply', 'move', 'shake', 'hold', 'close', 'sample', 'wrap']
146;grinder;['open', 'check', 'wrap', 'finish', 'crush', 'put', 'turn', 'attach', 'flip', 'store']
24;flour;['empty', 'add', 'mix', 'close', 'check', 'measure', 'move', 'roll', 'put', 'sprinkle', 'pour', 'apply', 'open', 'take', 'brush']
51;dough;['squeeze', 'roll', 'flip', 'mix', 'apply', 'put', 'knead', 'cut', 'flatten', 'divide', 'press', 'take']
229;mesh;['throw', 'take', 'move', 'put', 'wash', 'shake']
98;liquid:washing;['apply', 'open', 'put', 'squirt', 'squeeze', 'move', 'pour', 'wash', 'spray', 'turn-on', 'take']
16;bowl;['scoop', 'bake', 'put', 'scrape', 'take', 'carry', 'soak', 'move', 'pour', 'search', 'open', 'throw', 'mix', 'cook', 'sort', 'close', 'wrap', 'remove', 'store', 'shake', 'add', 'form', 'dry', 'empty', 'fill', 'insert', 'wash', 'tip']
199;basil;['throw', 'divide', 'apply', 'take', 'check']
86;jar;['move', 'empty', 'open', 'hold', 'remove', 'fill', 'take', 'close', 'mix', 'sort', 'dry', 'shake', 'wash', 'put']
157;avocado;['sort', 'peel', 'remove', 'crush', 'cut', 'scoop', 'put', 'take', 'throw', 'open']
52;fish;['take', 'divide', 'turn', 'add', 'remove', 'check', 'cook', 'flip', 'cut', 'wash', 'mix', 'put']
173;tea;['search', 'scoop', 'throw', 'remove', 'take', 'put', 'mix']
110;rest;['wash', 'remove', 'put', 'take', 'dry']
14;leaf;['cut', 'wash', 'remove', 'throw', 'apply', 'crush', 'mix', 'put', 'take']
0;cup;['sort', 'adjust', 'shake', 'hang', 'store', 'search', 'put', 'mix', 'fill', 'dry', 'drink', 'remove', 'look', 'take', 'empty', 'wash', 'hold', 'move', 'do', 'pour']
12;powder:coconut;['put', 'close', 'take', 'pour', 'open', 'measure']
282;smoothie;['open', 'put', 'take', 'pour']
19;maker:coffee;['close', 'turn-on', 'twist', 'dry', 'adjust', 'lift', 'insert', 'take', 'squeeze', 'turn-off', 'open', 'unscrew', 'tip', 'put', 'wash', 'fill', 'move', 'empty']
95;dishwasher;['slide', 'turn', 'open', 'take', 'put', 'insert', 'close', 'check', 'load', 'turn-on', 'unwrap', 'empty']
214;heart;['remove', 'take', 'put']
11;glass;['carry', 'put', 'drink', 'remove', 'store', 'wrap', 'throw', 'fill', 'pour', 'sort', 'empty', 'hold', 'take', 'dry', 'shake', 'move', 'wash', 'check']
104;bread;['put', 'insert', 'cook', 'cut', 'remove', 'open', 'close', 'throw', 'roll', 'sort', 'take', 'turn', 'flip', 'mix', 'apply', 'move', 'check', 'wrap']
158;tofu;['cut', 'pour', 'pat', 'put', 'mix', 'take']
134;shelf;['wash', 'move', 'put']
209;glove:oven;['finish', 'take', 'hang', 'remove', 'put', 'wear']
237;powder:washing;['put', 'take', 'adjust']
118;sugar;['close', 'insert', 'take', 'put', 'store', 'open', 'mix', 'scoop', 'pour', 'move']
132;ginger;['tip', 'peel', 'check', 'mix', 'crush', 'measure', 'break', 'take', 'remove', 'put', 'wash', 'cut', 'open']
35;salad;['look', 'open', 'wrap', 'pour', 'mix', 'sample', 'move', 'throw', 'put', 'insert', 'filter', 'take', 'cut', 'remove', 'scoop', 'wash']
182;tablecloth;['take', 'move', 'put', 'fold', 'shake', 'apply', 'wash', 'stretch']
194;towel:kitchen;['squeeze', 'pour', 'unwrap', 'fold', 'wash', 'break', 'take', 'throw', 'rip', 'put', 'rub', 'blow', 'move', 'pull']
47;pepper;['move', 'close', 'throw', 'shake', 'look', 'press', 'sort', 'add', 'put', 'insert', 'cut', 'remove', 'take', 'wash', 'crush', 'pour', 'scrape', 'open', 'choose', 'sprinkle', 'mix', 'scoop']
159;cap;['remove', 'close', 'throw', 'put', 'wash', 'open', 'take', 'twist']
108;pizza;['take', 'move', 'remove', 'put', 'open', 'check', 'cut']
234;finger;['check', 'wash', 'dry', 'finish', 'remove']
71;rubbish;['close', 'walk', 'shake', 'insert', 'remove', 'move', 'throw', 'open', 'put', 'take', 'wash']
65;salt;['add', 'put', 'sprinkle', 'mix', 'insert', 'shake', 'close', 'tip', 'take', 'remove', 'open', 'pour', 'wrap', 'measure', 'move']
212;napkin;['throw', 'put', 'turn', 'take', 'move']
224;scale;['take', 'move', 'search', 'turn-on', 'turn-off', 'put', 'remove', 'close']
136;lemon;['cut', 'throw', 'put', 'squeeze', 'take']
82;strainer;['wash', 'take', 'shake', 'put']
21;kettle;['cook', 'sort', 'empty', 'fill', 'wash', 'put', 'unplug', 'take', 'switch', 'turn', 'pour', 'turn-on', 'attach', 'open', 'move', 'hold', 'turn-off', 'check', 'close']
130;roll;['fill', 'prepare', 'take', 'put', 'move']
287;phone;['take', 'put', 'cook', 'video', 'check']
233;mayonnaise;['put', 'take', 'remove', 'squeeze', 'close', 'open', 'mix']
220;timer;['take', 'set', 'set-off', 'put']
42;blueberry;['open', 'mix', 'remove', 'put', 'pour', 'take', 'check']
33;bag;['roll', 'fold', 'take', 'switch', 'shake', 'move', 'wash', 'rip', 'check', 'insert', 'unroll', 'remove', 'store', 'wrap', 'carry', 'put', 'look', 'cut', 'form', 'press', 'gather', 'throw', 'empty', 'squeeze', 'stretch', 'open', 'close']
147;grater;['wash', 'move', 'take', 'drop', 'put']
15;potato;['cut', 'slide', 'fork', 'remove', 'pour', 'move', 'search', 'wash', 'add', 'put', 'mix', 'eat', 'check', 'filter', 'tip', 'peel', 'throw', 'take', 'turn']
30;rack:drying;['insert', 'open', 'dry', 'take', 'put', 'move', 'wash']
113;nut:pine;['scoop', 'put', 'mix', 'slide', 'take', 'add', 'pour']
28;spatula;['press', 'mix', 'unroll', 'finish', 'hang', 'put', 'scrape', 'flip', 'look', 'take', 'cut', 'soak', 'wash', 'flatten', 'rub', 'move']
69;almond;['take', 'put', 'close', 'open', 'scoop', 'pour']
145;paprika;['put', 'open', 'check', 'remove', 'measure', 'search', 'take']
48;oat;['open', 'turn-on', 'pour', 'press', 'mix', 'shake', 'flip', 'put', 'take', 'scoop']
67;bacon;['sprinkle', 'tear-out', 'open', 'mix', 'take', 'cut', 'cook', 'put']
102;milk;['scoop', 'remove', 'mix', 'open', 'move', 'close', 'drink', 'put', 'store', 'serve', 'shake', 'take', 'pour']
38;fridge;['check', 'insert', 'close', 'put', 'take', 'finish', 'search', 'mix', 'open', 'move', 'throw']
290;control:remote;['move', 'put', 'take']
2;jug;['put', 'empty', 'close', 'open', 'take', 'dry', 'wash', 'pull', 'scrape', 'move', 'fill', 'insert']
70;seed;['throw', 'measure', 'cut', 'put', 'take', 'remove']
39;microwave;['turn-off', 'wash', 'set', 'turn', 'open', 'check', 'move', 'adjust', 'switch', 'close', 'turn-on', 'put', 'insert', 'unplug']
184;mat;['remove', 'put', 'open', 'take', 'adjust', 'shake', 'turn']
32;tortilla;['sort', 'put', 'open', 'take', 'fill', 'cut', 'press', 'finish', 'close', 'check', 'flip', 'fold', 'remove']
250;poster;['adjust']
26;container;['throw', 'fill', 'take', 'move', 'put', 'pour', 'shake', 'wrap', 'flatten', 'wash', 'cut', 'remove', 'dry', 'filter', 'open', 'close']
107;pesto;['use', 'put', 'close', 'sprinkle', 'mix', 'take', 'open', 'move', 'apply', 'scoop', 'pour', 'insert']
196;soap;['put', 'use', 'add', 'pour', 'squeeze', 'take', 'cut']
177;peach;['remove', 'wash', 'peel', 'cut', 'take', 'put', 'shake']
79;oil;['check', 'pour', 'cook', 'filter', 'empty', 'remove', 'throw', 'open', 'drop', 'take', 'close', 'search', 'sprinkle', 'mix', 'insert', 'move', 'add', 'season', 'put', 'apply']
109;olive;['add', 'cut', 'eat', 'open', 'apply', 'move', 'pour', 'close', 'take', 'put']
101;nutella;['take', 'put', 'apply', 'close', 'open']
87;towel;['wash', 'open', 'take', 'shake', 'hang', 'search', 'throw', 'fold', 'put']
66;curry;['wrap', 'move', 'take', 'put', 'remove', 'serve', 'adjust', 'check', 'mix', 'insert']
228;grill;['dry', 'remove', 'put', 'take', 'wash']
291;cork;['put', 'remove', 'throw', 'take']
6;meat;['open', 'turn', 'cut', 'apply', 'wash', 'rip', 'sample', 'mix', 'check', 'break', 'pour', 'adjust', 'press', 'move', 'tip', 'peel', 'add', 'put', 'flip', 'divide', 'take', 'look']
37;leaf:mint;['remove', 'take', 'wash', 'put']
29;rice;['take', 'wash', 'break', 'pour', 'squeeze', 'move', 'empty', 'sample', 'shake', 'scoop', 'spill', 'put', 'pat', 'filter', 'measure', 'sweep', 'check', 'close', 'scrape', 'open', 'tip', 'mix', 'dry']
207;shell:egg;['search', 'take', 'throw', 'drop', 'scoop', 'put']
57;box;['check', 'wrap', 'throw', 'prepare', 'stack', 'dry', 'put', 'fold', 'remove', 'empty', 'fill', 'wash', 'look', 'tip', 'insert', 'take', 'squeeze', 'move', 'close', 'pack', 'open']
176;spinach;['put', 'mix', 'open', 'remove', 'wash', 'take']
260;scrap;['take', 'put', 'throw']
242;salmon;['put', 'take']
175;coriander;['wash', 'cut', 'mix', 'sort', 'filter', 'throw', 'take', 'put']
178;presser;['put', 'take', 'hold', 'squeeze']
215;banana;['cut', 'put', 'take', 'remove', 'throw', 'peel']
141;basket;['move', 'open', 'remove', 'fold', 'take', 'throw', 'close', 'shake', 'wash', 'insert', 'put']
54;pasta;['take', 'pour', 'move', 'sample', 'mix', 'open', 'search', 'throw', 'shake', 'cut', 'filter', 'put', 'scoop']
180;raisin;['put', 'empty', 'take', 'pour']
185;heat;['switch', 'finish', 'lower', 'choose', 'turn', 'turn-down', 'check', 'increase', 'feel', 'close', 'turn-off', 'turn-on', 'adjust', 'open']
74;hob;['dry', 'put', 'increase', 'check', 'shake', 'turn', 'spray', 'take', 'wash', 'set', 'adjust', 'switch', 'turn-on', 'open', 'turn-off', 'turn-down']
166;tongs;['flip', 'wash', 'use', 'put', 'turn', 'take']
235;caper;['take', 'put', 'cut']
189;chopstick;['put', 'look', 'throw', 'use', 'press', 'take', 'adjust', 'wash', 'mix', 'walk', 'move']
91;sponge;['move', 'take', 'soak', 'wash', 'put', 'video', 'squeeze', 'use', 'close', 'throw', 'water']
99;chilli;['finish', 'sprinkle', 'sample', 'take', 'cut', 'throw', 'put', 'wash', 'open']
275;pie;['take', 'put']
83;brush;['insert', 'put', 'wash', 'take']
85;yoghurt;['open', 'unwrap', 'put', 'pour', 'take', 'add', 'mix', 'close', 'scoop', 'remove']
76;paper;['throw', 'put', 'look', 'cut', 'open', 'take', 'move', 'fold']
252;apron;['put', 'wrap', 'remove', 'take', 'wear']
172;grass:lemon;['cut', 'peel', 'put', 'take', 'pour']
3;cloth;['throw', 'put', 'sort', 'hang', 'turn', 'dry', 'wash', 'move', 'take', 'squeeze', 'shake', 'fold', 'twist', 'stretch']
106;spice;['open', 'mix', 'pour', 'scoop', 'apply', 'crush', 'move', 'search', 'close', 'measure', 'take', 'put']
8;oven;['set', 'adjust', 'search', 'put', 'increase', 'insert', 'wash', 'move', 'turn-on', 'turn-off', 'check', 'open', 'cook', 'finish', 'close']
208;cabbage;['cut', 'put', 'defoliate', 'take']
123;ketchup;['put', 'close', 'squeeze', 'open', 'take']
59;pot;['fill', 'take', 'brush', 'wash', 'adjust', 'switch', 'move', 'open', 'attach', 'mix', 'press', 'dry', 'filter', 'turn-off', 'wrap', 'close', 'check', 'hang', 'throw', 'twist', 'put', 'empty', 'insert', 'remove', 'shake']
96;noodle;['put', 'take', 'insert', 'cut', 'remove', 'pour', 'mix']
90;processor:food;['close', 'finish', 'put', 'take', 'remove', 'wash', 'open', 'turn-on', 'turn-off', 'throw']
160;kiwi;['cut', 'search', 'check', 'put', 'take', 'sort', 'scoop']
121;form;['wash', 'take']
53;wrap;['cut', 'close', 'remove', 'open', 'throw', 'put']
44;vegetable;['mix', 'adjust', 'add', 'take', 'search', 'move', 'put', 'divide']
281;turkey;['take']
84;cutlery;['dry', 'take', 'put', 'wash', 'move', 'store']
203;ring:onion;['slide', 'cook', 'turn', 'take', 'put']
163;base;['take', 'move', 'flip', 'put']
210;cooker:slow;['put', 'move', 'insert', 'take']
63;fork;['wash', 'turn', 'serve', 'move', 'sort', 'adjust', 'put', 'take', 'dry', 'scrape']
167;mushroom;['take', 'wash', 'open', 'put', 'cut', 'eat', 'pour']
195;dumpling;['put', 'remove', 'mix']
202;time;['set', 'add', 'check', 'look', 'cut']
40;foil;['rip', 'apply', 'take', 'put', 'remove', 'throw']
283;waffle;['take', 'put']
142;lime;['take', 'wash', 'squeeze', 'move', 'unwrap', 'wrap', 'remove', 'put', 'cut', 'dry', 'sort']
230;rubber;['remove', 'put', 'throw']
155;tissue;['pat', 'wash', 'put', 'take']
174;butter;['put', 'squeeze', 'close', 'open', 'take', 'apply', 'wash']
115;paste:garlic;['take', 'open', 'weigh', 'put', 'close', 'scoop', 'knead', 'measure']
255;syrup;['pour', 'take', 'put']
149;salami;['put', 'cut', 'take', 'dry']
238;masher;['take', 'soak', 'put', 'wash']
133;cereal;['pour', 'put', 'open', 'take']
292;sleeve;['roll']
273;shaker:pepper;['use', 'put']
277;bar:cereal;['fold', 'put', 'take']
205;sandwich;['take', 'press', 'close', 'put', 'fill', 'cut']
128;peeler:potato;['take', 'wash', 'put', 'dry', 'pull']
241;tube;['put', 'open', 'take']
181;fruit;['take', 'throw', 'put', 'wash']
117;paella;['put', 'dry', 'mix', 'fix', 'take', 'wash']
179;pea;['pour', 'put', 'take', 'tip']
264;dressing:salad;['close', 'take', 'open', 'put', 'look']
223;power;['set', 'turn-off', 'unplug', 'choose']
126;pestle;['take', 'search', 'put', 'scrape']
251;whetstone;['take', 'put', 'check']
262;beef;['pull', 'take', 'put']
226;light;['turn', 'video', 'turn-off', 'turn-on', 'remove', 'open', 'finish', 'adjust']
289;pan:dust;['insert', 'put', 'take', 'pour']
247;holder:filter;['put', 'take', 'insert', 'filter', 'wash', 'remove', 'dry', 'turn']
232;candle;['put', 'take', 'turn-on', 'blow']
4;skin;['cut', 'open', 'put', 'take', 'remove', 'gather', 'move', 'rip', 'throw']
124;ingredient;['put', 'remove', 'finish', 'take', 'mix']
188;toaster;['turn', 'turn-on', 'wrap']
168;crisp;['put', 'take']
244;wire;['wrap', 'move']
198;chair;['walk', 'move', 'finish', 'sit-on', 'adjust']
165;shirt;['hang', 'adjust', 'take']
217;mustard;['scrape', 'take']
265;turmeric;['take', 'put', 'open', 'close']
227;cherry;['check', 'sample', 'pour', 'take', 'put', 'remove', 'mix']
192;sprout;['put', 'mix', 'cook']
280;part;['cut', 'twist', 'throw']
216;mint;['take', 'cut', 'stick', 'put']
267;hummus;['close', 'take', 'put', 'open']
154;coconut;['put', 'mix', 'take', 'open', 'measure']
213;dust;['wash', 'put', 'remove']
140;sock;['take', 'hang']
112;desk;['put', 'wash']
50;scissors;['put', 'take', 'wash', 'dry', 'search', 'pull', 'move']
131;omelette;['cut', 'take', 'roll', 'put']
114;button;['press']
253;nesquik;['put', 'take']
221;heater;['turn-on', 'turn-off', 'put']
204;blender;['put', 'wash', 'take']
150;risotto;['scoop']
206;stick:crab;['unwrap', 'cut']
259;flake:chilli;['close', 'take', 'pour', 'put', 'sprinkle']
164;pancake;['remove', 'take', 'put']
269;air;['let-out', 'squeeze']
191;squeezer:lime;['dry', 'take', 'put']
218;berry;['take', 'filter', 'pour', 'wash', 'put']
245;cake;['put', 'take', 'cut']
266;sheets;['put', 'move', 'take']
248;soup;['mix', 'put']
270;tablet;['put', 'take']
272;coke;['put']
72;leftover;['throw', 'apply', 'put', 'take']
169;grape;['take', 'remove', 'wash', 'open', 'close', 'put']
239;chip;['move', 'remove']
293;rug;['put']
257;beer;['pour', 'put', 'drink', 'take']
278;drink;['take', 'put']
263;leek;['take', 'put', 'wash', 'cut', 'mix']
211;envelope;['take', 'put']
236;boxer;['take', 'hang']
186;juicer:lime;['put', 'wash']
288;alarm;['set', 'turn-off', 'set-off']
243;opener:bottle;['take', 'put']
284;chocolate;['put', 'take']
256;mocha;['mix', 'take', 'put', 'open']
161;pin:rolling;['put', 'take', 'wash']
279;cumin;['put', 'take']
294;sticker;['remove']
285;recipe;['look']
