noun_id;noun;verbs
10;person;['combing hair', 'make up', 'brushing teeth', 'dental floss', 'washing hands/face', 'drying hands/face', 'laundry', 'washing dishes', 'moving dishes', 'making tea', 'making coffee', 'drinking water/bottle', 'drinking water/tap', 'making cold food/snack', 'eating food/snack', 'taking pills', 'watching tv', 'using computer', 'using cell', 'cleaning house', 'reading book', 'using_mouth_wash', 'drinking coffee/tea', 'grabbing water from tap']
11;towel;['combing hair', 'make up', 'brushing teeth', 'dental floss', 'washing hands/face', 'drying hands/face', 'laundry', 'washing dishes', 'moving dishes', 'making tea', 'making coffee', 'drinking water/bottle', 'making hot food', 'making cold food/snack', 'eating food/snack', 'mopping in kitchen', 'taking pills', 'watching tv', 'using computer', 'cleaning house', 'reading book', 'using_mouth_wash', 'drinking coffee/tea']
12;tv;['brushing teeth', 'adjusting thermostat', 'laundry', 'washing dishes', 'making tea', 'making coffee', 'drinking water/bottle', 'making hot food', 'making cold food/snack', 'eating food/snack', 'vacuuming', 'taking pills', 'watching tv', 'using computer', 'using cell', 'cleaning house', 'reading book', 'writing', 'putting on shoes/sucks', 'drinking coffee/tea']
13;tv_remote;['brushing teeth', 'adjusting thermostat', 'making coffee', 'eating food/snack', 'mopping in kitchen', 'vacuuming', 'watching tv', 'using computer', 'using cell', 'reading book', 'putting on shoes/sucks', 'drinking coffee/tea']
14;cloth;['combing hair', 'make up', 'brushing teeth', 'washing hands/face', 'drying hands/face', 'adjusting thermostat', 'laundry', 'washing dishes', 'making tea', 'making coffee', 'drinking water/bottle', 'making hot food', 'making cold food/snack', 'mopping in kitchen', 'vacuuming', 'taking pills', 'watching tv', 'using computer', 'using cell', 'making bed', 'cleaning house', 'reading book', 'using_mouth_wash', 'drinking coffee/tea']
15;container;['combing hair', 'make up', 'brushing teeth', 'dental floss', 'washing hands/face', 'drying hands/face', 'adjusting thermostat', 'laundry', 'washing dishes', 'moving dishes', 'making tea', 'making coffee', 'drinking water/bottle', 'drinking water/tap', 'making hot food', 'making cold food/snack', 'eating food/snack', 'mopping in kitchen', 'taking pills', 'watching tv', 'using computer', 'cleaning house', 'reading book', 'using_mouth_wash', 'writing']
16;oven-stove;['brushing teeth', 'washing hands/face', 'drying hands/face', 'adjusting thermostat', 'laundry', 'washing dishes', 'moving dishes', 'making tea', 'making coffee', 'drinking water/bottle', 'drinking water/tap', 'making hot food', 'making cold food/snack', 'eating food/snack', 'mopping in kitchen', 'vacuuming', 'taking pills', 'watching tv', 'using computer', 'using cell', 'cleaning house', 'drinking coffee/tea', 'grabbing water from tap']
17;pan;['brushing teeth', 'washing hands/face', 'drying hands/face', 'laundry', 'washing dishes', 'moving dishes', 'making tea', 'making coffee', 'drinking water/bottle', 'drinking water/tap', 'making hot food', 'making cold food/snack', 'eating food/snack', 'mopping in kitchen', 'grabbing water from tap', 'cleaning house', 'drinking coffee/tea']
18;book;['drying hands/face', 'adjusting thermostat', 'making coffee', 'making cold food/snack', 'eating food/snack', 'vacuuming', 'taking pills', 'watching tv', 'using computer', 'using cell', 'cleaning house', 'reading book', 'writing', 'drinking coffee/tea']
19;washer-dryer;['drying hands/face', 'laundry', 'vacuuming', 'taking pills', 'drinking coffee/tea']
